"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.273962208E0,-1.369599849E-1,1.565752864E0,3.270134687E0
7.293965208E0,-3.210571036E-2,1.295699954E0,3.590274334E0
7.313967208E0,1.583701968E-1,8.455108404E-1,3.845155954E0
7.333970208E0,4.129393399E-1,1.740540266E-1,3.881305218E0
7.353972208E0,6.180605292E-1,-2.775766551E-1,3.858412981E0
7.373975208E0,6.716574430E-1,-4.839860201E-1,3.819440126E0
7.393977208E0,6.304181218E-1,-5.797548890E-1,3.741153955E0
7.413979208E0,5.492162704E-1,-7.130993605E-1,3.537925959E0
7.433982208E0,4.258269072E-1,-8.252106905E-1,3.156418562E0
7.453984208E0,1.604452580E-1,-7.667326927E-1,2.661398172E0
7.473987208E0,-3.226146400E-1,-6.179422140E-1,2.136283875E0
7.493989208E0,-8.134912848E-1,-3.418091834E-1,1.545953870E0
7.513991208E0,-1.188734889E0,-7.541319728E-2,9.626134634E-1
7.533994208E0,-1.469243169E0,7.721352577E-2,5.801736712E-1
7.553996208E0,-1.676342964E0,1.822529584E-1,1.700769961E-1
7.573999208E0,-1.655077577E0,3.682073951E-1,-3.872251809E-1
7.594001208E0,-1.232671499E0,6.732987165E-1,-8.727680445E-1
7.614003208E0,-6.640337706E-1,7.006121874E-1,-1.209034443E0
7.634006208E0,-3.850446343E-1,4.802408516E-1,-1.450673699E0
7.654008208E0,-3.056402802E-1,3.500539958E-1,-1.735093594E0
7.674011208E0,6.542125484E-4,2.196516544E-1,-2.207460642E0
7.694013208E0,6.221297383E-1,1.487255841E-1,-2.696063519E0
7.714015208E0,1.231974244E0,2.104966044E-1,-2.927918911E0
7.734018208E0,1.398349881E0,3.110916615E-1,-2.742170095E0
7.754020208E0,1.108161807E0,3.186782300E-1,-2.305570364E0
7.774023208E0,7.070808411E-1,-1.100826934E-1,-2.088183641E0
7.794025208E0,3.366127014E-1,-8.902102709E-1,-2.175912142E0
7.814027208E0,-7.065611333E-2,-1.462110162E0,-2.277694225E0
7.834030208E0,-4.421095848E-1,-1.729205132E0,-2.363145113E0
7.854032208E0,-7.148694396E-1,-1.779677153E0,-2.302689314E0
