"Time (s)","Illuminance (lx)"
6.130117498E1,0.000000000E0
6.141129083E1,0.000000000E0
6.151996614E1,0.000000000E0
6.162984359E1,0.000000000E0
6.173818888E1,0.000000000E0
6.184820639E1,0.000000000E0
6.195820647E1,0.000000000E0
6.206936464E1,0.000000000E0
6.217857470E1,0.000000000E0
6.228817676E1,0.000000000E0
6.239657934E1,0.000000000E0
6.250619410E1,0.000000000E0
6.261595447E1,0.000000000E0
6.272606117E1,0.000000000E0
6.283607806E1,0.000000000E0
6.294598884E1,0.000000000E0
6.305504700E1,0.000000000E0
6.316453534E1,0.000000000E0
6.327448284E1,0.000000000E0
6.338448121E1,0.000000000E0
6.349468644E1,0.000000000E0
6.360437446E1,0.000000000E0
6.371439318E1,0.000000000E0
6.382425503E1,0.000000000E0
6.393367170E1,0.000000000E0
6.404322744E1,0.000000000E0
6.415296004E1,0.000000000E0
6.426249201E1,0.000000000E0
6.437320572E1,0.000000000E0
6.448258853E1,0.000000000E0
6.459262153E1,0.000000000E0
6.470278400E1,0.000000000E0
6.481217661E1,0.000000000E0
6.492199073E1,0.000000000E0
6.503088607E1,0.000000000E0
6.514026509E1,1.000000000E0
6.525106980E1,1.000000000E0
6.536135958E1,1.000000000E0
6.547058089E1,1.000000000E0
6.558025354E1,2.000000000E0
6.568878091E1,1.000000000E0
6.579869097E1,1.000000000E0
6.590885009E1,2.000000000E0
6.601998191E1,2.000000000E0
6.612895998E1,2.000000000E0
6.623874890E1,2.000000000E0
6.634714851E1,2.000000000E0
6.645766094E1,2.000000000E0
6.656654453E1,2.000000000E0
6.667660435E1,2.000000000E0
6.678682887E1,2.000000000E0
6.689670462E1,2.000000000E0
6.700653723E1,1.000000000E0
6.711559575E1,1.000000000E0
6.722517105E1,1.000000000E0
6.733513971E1,1.000000000E0
6.744522023E1,1.000000000E0
6.755539075E1,1.000000000E0
6.766519406E1,1.000000000E0
6.777425925E1,1.000000000E0
6.788383909E1,1.000000000E0
6.799429779E1,1.000000000E0
6.810448144E1,1.000000000E0
6.821362823E1,1.000000000E0
6.832304524E1,1.000000000E0
6.843304098E1,1.000000000E0
6.854415544E1,1.000000000E0
6.865353937E1,1.000000000E0
6.876354992E1,1.000000000E0
6.887354664E1,1.000000000E0
6.898356059E1,1.000000000E0
6.909284461E1,1.000000000E0
6.920180887E1,1.000000000E0
6.931181350E1,1.000000000E0
6.942266083E1,1.000000000E0
6.953280246E1,1.000000000E0
6.964149939E1,1.000000000E0
6.975130622E1,0.000000000E0
6.985967479E1,0.000000000E0
6.996957124E1,1.000000000E0
7.008110642E1,0.000000000E0
7.019123727E1,0.000000000E0
7.029962358E1,0.000000000E0
7.040939023E1,1.000000000E0
7.051875134E1,0.000000000E0
7.062729380E1,0.000000000E0
