"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.507628458E0,-5.003429949E-2,-1.067352146E-1,1.279326081E-1
6.527645458E0,-1.161088869E-1,-1.423242502E-2,1.237294376E-1
6.547662458E0,-2.252956480E-1,1.041522771E-1,1.504914463E-1
6.567676167E0,-2.732578218E-1,1.122214049E-1,2.284630388E-1
6.587693167E0,-1.977147609E-1,6.476224214E-2,2.996418774E-1
6.607710167E0,-3.523981571E-2,9.239310771E-2,3.477176130E-1
6.627726167E0,1.081395596E-1,2.001304477E-1,3.937639594E-1
6.647743167E0,1.003328115E-1,2.597985566E-1,3.640081882E-1
6.667760167E0,-9.502561763E-3,2.955302596E-1,2.842775583E-1
6.687777167E0,-9.664558619E-2,2.840861380E-1,2.311338335E-1
6.707794167E0,-7.691758126E-2,1.287108660E-1,2.232242376E-1
6.727811167E0,-2.108458430E-4,1.454408467E-2,1.654885113E-1
6.747828167E0,7.972454280E-2,4.767357372E-3,5.671551451E-2
6.767844167E0,1.101212054E-1,1.596570611E-1,-1.144071370E-1
6.787861167E0,2.231648751E-2,2.483805418E-1,-2.776330709E-1
6.807878167E0,-1.131545752E-1,2.441218942E-1,-3.720139265E-1
6.827895167E0,-2.073467225E-1,2.211396098E-1,-3.823210597E-1
6.847912167E0,-2.894295454E-1,1.778584570E-1,-2.864778042E-1
6.867929167E0,-3.402552903E-1,4.025385715E-3,-1.534794420E-1
6.887946167E0,-3.380902410E-1,-1.274982840E-1,-4.695841670E-2
6.907962167E0,-4.881331623E-1,-2.855035961E-1,-3.036248684E-2
6.927979167E0,-7.840058804E-1,-5.639049411E-1,-3.922645748E-2
6.947996167E0,-8.365822434E-1,-7.543110847E-1,1.936876401E-2
6.968013167E0,-4.512293637E-1,-5.729609132E-1,5.957148597E-2
6.988030167E0,1.993980445E-2,-1.584889591E-1,-2.879991941E-2
7.008047167E0,8.536352962E-2,2.372478135E-2,-1.442078203E-1
7.028064167E0,-2.101573199E-1,-1.879603602E-2,-2.205586880E-1
7.048081167E0,-3.710835278E-1,-3.144179285E-2,-1.762255132E-1
7.068097167E0,-2.781353295E-1,-2.888995595E-2,-1.258812845E-1
7.088114167E0,-1.361377388E-1,-8.217315376E-2,-8.903031796E-2
7.108131167E0,-2.555039944E-3,-9.817048907E-2,-3.603776917E-2
7.128148167E0,1.254664809E-1,-6.660403311E-2,6.738632917E-3
7.148165167E0,2.462880164E-1,-6.385779381E-2,-5.222028866E-2
7.168182167E0,2.783577144E-1,-9.434242547E-2,-1.742559224E-1
7.188199167E0,2.051078677E-1,-1.854420006E-1,-2.954821289E-1
7.208215167E0,9.413493425E-2,-3.829761147E-1,-3.576595485E-1
7.228232167E0,6.700414419E-2,-5.289298892E-1,-3.644589782E-1
7.248249167E0,1.089361906E-1,-4.772258997E-1,-3.371681273E-1
7.268266167E0,9.483554959E-2,-2.725356221E-1,-3.265342116E-1
7.288283167E0,-2.954319119E-2,-8.403257281E-2,-3.546759188E-1
7.308300167E0,-1.846385151E-1,1.254428923E-1,-3.611804247E-1
7.328317167E0,-2.531796098E-1,3.311286867E-1,-2.372897416E-1
7.348334167E0,-2.156436890E-1,4.596419334E-1,-3.240743652E-2
7.368350167E0,-8.440910280E-2,4.670678675E-1,2.017432898E-1
7.388367167E0,1.368791461E-1,4.491365254E-1,4.474813342E-1
7.408384167E0,3.662013412E-1,5.543721318E-1,6.400892138E-1
