"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.877618517E2,3.211518381E1,1.189526467E2,1.739336251E1,1.695946394E0,3.015435614E2,4.946854942E0,4.946854942E0
1.887618483E2,3.211519902E1,1.189526185E2,1.704892589E1,1.526874331E0,3.051083434E2,4.935467797E0,4.935467797E0
1.897618469E2,3.211520982E1,1.189525846E2,1.686809559E1,1.944375943E0,3.005482381E2,4.941269253E0,4.941269253E0
1.907618449E2,3.211522316E1,1.189525598E2,1.698215941E1,1.548152935E0,3.062546057E2,4.940172870E0,4.940172870E0
1.917618422E2,3.211523926E1,1.189525142E2,1.719192564E1,2.587628284E0,3.022199417E2,4.939756799E0,4.939756799E0
1.927618399E2,3.211524860E1,1.189524943E2,1.689214914E1,1.588100694E0,3.053767309E2,4.924094818E0,4.924094818E0
1.937618379E2,3.211526400E1,1.189524657E2,1.717798106E1,1.554543000E0,3.073928985E2,4.923084884E0,4.923084884E0
1.947618366E2,3.211527447E1,1.189524393E2,1.729285745E1,1.685037995E0,3.021708410E2,4.914301885E0,4.914301885E0
1.957618341E2,3.211528111E1,1.189524147E2,1.760052677E1,1.488245921E0,2.969873532E2,4.914700689E0,4.914700689E0
1.967623689E2,3.211529574E1,1.189523838E2,1.747745787E1,2.016301715E0,3.001682872E2,4.913464995E0,4.913464995E0
1.977623653E2,3.211531309E1,1.189523452E2,1.760242417E1,2.387472903E0,3.038059690E2,4.908950554E0,4.908950554E0
1.987623709E2,3.211533855E1,1.189522999E2,1.731632897E1,3.118405270E0,3.061709708E2,4.913730304E0,4.913730304E0
1.997623657E2,3.211536045E1,1.189522641E2,1.720550327E1,3.247659058E0,3.085028027E2,4.930071775E0,4.930071775E0
2.007623730E2,3.211537487E1,1.189522154E2,1.694525621E1,3.347668899E0,3.031456540E2,4.894213241E0,4.894213241E0
2.017623647E2,3.211539074E1,1.189521704E2,1.722611708E1,3.341924784E0,3.030354398E2,4.880397581E0,4.880397581E0
2.027623658E2,3.211541126E1,1.189521351E2,1.706754184E1,3.116722185E0,3.064635963E2,4.880102512E0,4.880102512E0
2.037623527E2,3.211543019E1,1.189521044E2,1.692093123E1,2.832522545E0,3.070343276E2,4.892421983E0,4.892421983E0
2.047623497E2,3.211545154E1,1.189520738E2,1.658297280E1,2.751789104E0,3.076708491E2,4.888303916E0,4.888303916E0
2.057623430E2,3.211547383E1,1.189520439E2,1.655927787E1,2.741849483E0,3.122158337E2,4.899924904E0,4.899924904E0
