"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.366540988E1,4.705211639E1,1.374605942E1,3.064936066E1
9.368551387E1,4.834185791E1,1.504812622E1,3.064867020E1
9.370561687E1,4.990840530E1,1.590684891E1,3.116113091E1
9.372572088E1,5.112416077E1,1.668367004E1,3.061622238E1
9.374582488E1,5.254145050E1,1.701925659E1,3.015043831E1
9.376592788E1,5.311594009E1,1.761730576E1,2.968362236E1
9.378603188E1,5.329174805E1,1.766734695E1,2.945812416E1
9.380613587E1,5.317828369E1,1.757621002E1,2.919342804E1
9.382623888E1,5.324612808E1,1.741759872E1,2.962476921E1
9.384634287E1,5.346578979E1,1.728090286E1,2.938589096E1
9.386644688E1,5.360642242E1,1.712938690E1,2.858188248E1
9.388654987E1,5.363578033E1,1.719984818E1,2.800843430E1
9.390665388E1,5.382793045E1,1.731334686E1,2.816622925E1
9.392675688E1,5.424271774E1,1.742783737E1,2.864660072E1
9.394686138E1,5.428664017E1,1.812101746E1,2.852395439E1
9.396696538E1,5.392017365E1,1.843964767E1,2.778172302E1
9.398706838E1,5.262884140E1,1.831441879E1,2.708355331E1
9.400717238E1,5.123703766E1,1.683930206E1,2.702665520E1
9.402727637E1,5.007296753E1,1.614165497E1,2.670423889E1
9.404737937E1,4.891950607E1,1.548355103E1,2.682767487E1
9.406748337E1,4.801517487E1,1.474800873E1,2.715860176E1
9.408758738E1,4.751396942E1,1.428531265E1,2.794805717E1
9.410769038E1,4.764024353E1,1.460823059E1,2.879698563E1
9.412779438E1,4.830586243E1,1.512441254E1,2.878539658E1
9.414789837E1,4.944885635E1,1.570890427E1,2.923352814E1
9.416800138E1,5.075968933E1,1.636596298E1,2.986250687E1
9.418810537E1,5.150531387E1,1.697429657E1,3.103370857E1
9.420820837E1,5.227244186E1,1.734896088E1,3.179250526E1
9.422831237E1,5.327296829E1,1.762219238E1,3.304018784E1
9.424841638E1,5.313391113E1,1.725302887E1,3.427557373E1
9.426851938E1,5.308374405E1,1.702428055E1,3.452455521E1
9.428862338E1,5.330359650E1,1.696273422E1,3.453664780E1
9.430872737E1,5.391604614E1,1.693139648E1,3.517548370E1
9.432883038E1,5.433494568E1,1.690542221E1,3.504549789E1
9.434893437E1,5.493878174E1,1.705801392E1,3.519194031E1
9.436903838E1,5.549065781E1,1.734447479E1,3.518884277E1
9.438914137E1,5.570342255E1,1.698325729E1,3.495432663E1
9.440924538E1,5.618273926E1,1.664648438E1,3.514226913E1
9.442934938E1,5.641032028E1,1.680282974E1,3.530082703E1
9.444945238E1,5.663924026E1,1.671632767E1,3.485217285E1
9.446955637E1,5.716507339E1,1.678960419E1,3.468801117E1
9.448965938E1,5.750032043E1,1.622774124E1,3.426647186E1
9.450976337E1,5.727281952E1,1.557609940E1,3.383621216E1
9.452986738E1,5.496577072E1,1.406399155E1,3.343930054E1
9.454997037E1,5.280824280E1,1.289470673E1,3.320184708E1
9.457007438E1,5.083035278E1,1.245508575E1,3.255540085E1
9.459017838E1,5.026297760E1,1.256692886E1,3.260164642E1
9.461028138E1,5.117510986E1,1.358550644E1,3.246752167E1
9.463038537E1,5.220193481E1,1.447665024E1,3.337891388E1
9.465048937E1,5.349819946E1,1.573204422E1,3.348806000E1
9.467059237E1,5.521457672E1,1.632564163E1,3.327384186E1
